t_id,era,city,date,is_high,model,forecast_f,actual_f,error_f,weight_region
1,paper,Tel Aviv,2026-07-06,1,ecmwf_ifs025,91.29,,,GLOBAL
1,paper,Tel Aviv,2026-07-06,1,icon_global,88.93,,,GLOBAL
1,paper,Tel Aviv,2026-07-06,1,gem_global,90.62,,,GLOBAL
1,paper,Tel Aviv,2026-07-06,1,jma_gsm,90.25,,,GLOBAL
2,paper,Chicago,2026-07-05,1,ecmwf_ifs025,80.39,,,US
2,paper,Chicago,2026-07-05,1,gfs_global,80.9,,,US
2,paper,Chicago,2026-07-05,1,icon_global,79.03,,,US
2,paper,Chicago,2026-07-05,1,gem_global,79.72,,,US
3,paper,Chicago,2026-07-05,1,ecmwf_ifs025,80.39,,,US
3,paper,Chicago,2026-07-05,1,gfs_global,80.9,,,US
3,paper,Chicago,2026-07-05,1,icon_global,79.03,,,US
3,paper,Chicago,2026-07-05,1,gem_global,79.72,,,US
4,paper,Tel Aviv,2026-07-07,1,ecmwf_ifs025,88.39,,,GLOBAL
4,paper,Tel Aviv,2026-07-07,1,icon_global,87.23,,,GLOBAL
4,paper,Tel Aviv,2026-07-07,1,gem_global,88.92,,,GLOBAL
4,paper,Tel Aviv,2026-07-07,1,jma_gsm,88.75,,,GLOBAL
5,paper,Dallas,2026-07-06,1,ecmwf_ifs025,97.79,,,US
5,paper,Dallas,2026-07-06,1,gfs_global,97.0,,,US
5,paper,Dallas,2026-07-06,1,icon_global,96.83,,,US
5,paper,Dallas,2026-07-06,1,gem_global,99.52,,,US
6,paper,Dallas,2026-07-06,1,ecmwf_ifs025,100.29,,,US
6,paper,Dallas,2026-07-06,1,gfs_global,100.2,,,US
6,paper,Dallas,2026-07-06,1,icon_global,99.23,,,US
6,paper,Dallas,2026-07-06,1,gem_global,99.52,,,US
8,paper,London,2026-07-08,0,ecmwf_ifs025,67.89,,,EU
8,paper,London,2026-07-08,0,icon_global,67.13,,,EU
8,paper,London,2026-07-08,0,gfs_global,67.9,,,EU
8,paper,London,2026-07-08,0,gem_global,67.42,,,EU
9,paper,London,2026-07-08,0,ecmwf_ifs025,67.89,,,EU
9,paper,London,2026-07-08,0,icon_global,67.13,,,EU
9,paper,London,2026-07-08,0,gfs_global,67.9,,,EU
9,paper,London,2026-07-08,0,gem_global,67.42,,,EU
10,paper,New York,2026-07-07,0,ecmwf_ifs025,67.59,,,US
10,paper,New York,2026-07-07,0,gfs_global,66.2,,,US
10,paper,New York,2026-07-07,0,icon_global,67.33,,,US
10,paper,New York,2026-07-07,0,gem_global,67.22,,,US
11,paper,London,2026-07-08,0,ecmwf_ifs025,68.79,,,EU
11,paper,London,2026-07-08,0,icon_global,67.63,,,EU
11,paper,London,2026-07-08,0,gfs_global,67.9,,,EU
