t_id,era,city,date,question,is_high,lo,hi,side,size,fill,p_yes,p_side,edge,raw_wmean,ens_mean,sigma,agreement,spread,yes_px,no_px,mkt_spread,ask_depth,bid_depth,entry,exit,reason,booked,settled,won,outcome,actual,err,z,brier,margin,lead_h,n_signals,first_seen,region
1,paper,Tel Aviv,2026-07-06,Will the highest temperature in Tel Aviv be 31°C on July 6?,1,87.4,88.2,NO,1.6,0.58,0.20682708708859998,0.7931729129114,0.20091791291140013,90.41000000000001,91.71000000000001,2.610795756125798,0.75,2.3599999999999994,0.43,0.57,0.017543859649122723,,,2026-07-04T16:34:34.180743+00:00,2026-07-06T00:00:00Z,RESOLVED_WIN (NO),1.1586,1.1586206896551725,1,NO,,,,0.04277744395355532,3.010000000000005,43.4238386825,186,2026-07-04T16:34:34.177868+00:00,GLOBAL
2,paper,Chicago,2026-07-05,Will the highest temperature in Chicago be between 74-75°F on July 5?,1,74.0,75.0,NO,1.6,0.74,0.019541321776203904,0.9804586782237961,0.22060367822379606,80.204,81.50399999999999,1.7119258161497546,0.75,1.8700000000000045,0.27,0.73,0.02739726027397263,,,2026-07-04T16:34:38.895574+00:00,2026-07-05T00:00:00Z,RESOLVED_WIN (NO),0.5622,0.5621621621621622,1,NO,,,,0.0003818632567611421,6.003999999999991,19.422529007222224,27,2026-07-04T16:34:38.892998+00:00,US
3,paper,Chicago,2026-07-05,Will the highest temperature in Chicago be between 76-77°F on July 5?,1,76.0,77.0,NO,1.5999999999999996,0.68,0.09412688227108991,0.9058731177289101,0.2047343677289101,80.204,81.50399999999999,1.7119258161497546,0.75,1.8700000000000045,0.335,0.665,0.037593984962405964,,,2026-07-04T17:25:24.452661+00:00,2026-07-05T00:00:00Z,RESOLVED_LOSS (YES),-1.6,-1.5999999999999996,0,YES,,,,0.8206061054238958,4.003999999999991,18.576540927499998,39,2026-07-04T16:34:38.236294+00:00,US
4,paper,Tel Aviv,2026-07-07,Will the highest temperature in Tel Aviv be 30°C on July 7?,1,85.6,86.4,NO,1.5985061494435613,0.55,0.2220462486156749,0.7779537513843251,0.22551500138432506,88.26,89.56,2.821208209193138,0.75,1.6899999999999835,0.465,0.535,0.009345794392523372,,,2026-07-05T04:35:42.468438+00:00,2026-07-07T00:00:00Z,RESOLVED_WIN (NO),1.3079,1.3078686677265499,1,NO,,,,0.04930453652429411,2.6599999999999966,55.40486987833333,255,2026-07-05T04:25:36.163414+00:00,GLOBAL
5,paper,Dallas,2026-07-06,Will the highest temperature in Dallas be 93°F or below on July 6?,1,,93.0,NO,1.6380665609049538,0.74,0.0034676506519923933,0.9965323493480076,0.24679359934800763,97.534,98.834,1.9756030762669488,0.75,2.6899999999999977,0.265,0.735,0.00680272108843538,,,2026-07-05T09:59:18.882260+00:00,2026-07-06T00:00:00Z,RESOLVED_WIN (NO),0.5755,0.5755368997774162,1,NO,,,,1.202460104426327e-05,5.334000000000003,26.011421594444446,38,2026-07-05T03:35:05.355736+00:00,US
6,paper,Dallas,2026-07-06,Will the highest temperature in Dallas be between 94-95°F on July 6?,1,94.0,95.0,NO,1.6380665609049538,0.68,0.04833948293417278,0.9516605170658272,0.2606055170658272,99.974,101.274,1.9943330464092512,0.75,1.0600000000000023,0.33,0.67,0.01492537313432837,,,2026-07-05T16:35:37.006302+00:00,2026-07-06T00:00:00Z,RESOLVED_WIN (NO),0.7709,0.7708548521905665,1,NO,,,,0.002336705610343182,5.774000000000001,19.406387138333336,70,2026-07-05T03:04:45.987152+00:00,US
8,paper,London,2026-07-08,Will the lowest temperature in London be 26°C on July 8?,0,78.4,79.2,NO,1.6379326248743857,0.57,0.02546076572113898,0.974539234278861,0.398865484278861,67.617,68.917,2.7039346608842267,1.0,0.7700000000000102,0.445,0.555,,,,2026-07-06T04:37:47.276586+00:00,2026-07-08T00:00:00Z,RESOLVED_WIN (NO),1.2356,1.2356333836771682,1,NO,,,,0.0006482505911067256,8.983000000000004,55.370200948333334,1,2026-07-06T04:37:47.273980+00:00,EU
9,paper,London,2026-07-08,Will the lowest temperature in London be 25°C on July 8?,0,76.6,77.4,NO,1.6379326248743855,0.57,0.06313331030303737,0.9368666896969626,0.3611929396969626,67.617,68.917,2.7039346608842267,1.0,0.7700000000000102,0.445,0.555,,,,2026-07-06T04:37:47.310526+00:00,2026-07-08T00:00:00Z,RESOLVED_WIN (NO),1.2356,1.2356333836771685,1,NO,,,,0.003985814869819605,7.182999999999993,55.37019152055556,1,2026-07-06T04:37:47.308365+00:00,EU
10,paper,New York,2026-07-07,Will the lowest temperature in New York City be between 64-65°F on July 7?,0,64.0,65.0,NO,1.9444256206364987,0.62,0.14967332351931997,0.85032667648068,0.223305626060512,67.084,68.384,1.5833777186761213,0.75,1.3900000000000006,0.39,0.61,0.008403361344537823,,,2026-07-06T22:16:53.033070+00:00,2026-07-07T00:00:00Z,RESOLVED_WIN (NO),1.1917,1.191744735228822,1,NO,,,,0.022402103773319013,2.8840000000000003,13.718601925000002,6,2026-07-06T22:06:46.022804+00:00,US
11,paper,London,2026-07-08,Will the lowest temperature in London be 19°C on July 8?,0,65.8,66.6,NO,1.944425620636499,0.57,0.21021470527893404,0.789785294721066,0.20758350124280514,68.34700000000001,69.647,2.155769018814437,0.75,1.9899999999999949,0.435,0.565,0.008695652173913052,,,2026-07-07T04:11:03.103461+00:00,2026-07-08T00:00:00Z,RESOLVED_WIN (NO),1.4668,1.4668473980240258,1,NO,,,,0.0441902223155091,2.5470000000000113,31.815804594166664,102,2026-07-06T04:37:47.090843+00:00,EU
12,paper,Miami,2026-07-08,Will the lowest temperature in Miami be between 80-81°F on July 8?,0,80.0,81.0,NO,1.8321808291319368,0.56,0.21107083239793106,0.7889291676020689,0.21655416760206883,82.744,84.044,2.107264718870103,1.0,0.9299999999999784,0.45,0.55,0.018181818181818195,,,2026-07-07T09:45:23.689511+00:00,2026-07-08T00:00:00Z,RESOLVED_WIN (NO),1.4396,1.439570651460807,1,NO,,,,0.044550896289155525,2.543999999999997,26.243419580277777,104,2026-07-07T04:21:09.799438+00:00,US
14,paper,Guangzhou,2026-07-09,Will the highest temperature in Guangzhou be 34°C or higher on July 9?,1,92.8,,NO,1.9304050836217275,0.67,0.0321390533577397,0.9678609466422603,0.28664094664226025,87.5855,88.8855,1.8454303177698836,1.0,1.4200000000000017,0.34,0.66,0.015151515151515164,,,2026-07-07T11:26:59.476016+00:00,2026-07-09T00:00:00Z,RESOLVED_WIN (NO),0.9508,0.9507965337241344,1,NO,,,,0.0010329187507316395,3.414500000000004,48.55014555111111,172,2026-07-07T11:26:59.472914+00:00,AP
25,paper,Tokyo,2026-07-13,Will the lowest temperature in Tokyo be 21°C on July 13?,0,69.4,70.2,NO,2.0,0.68,0.048105772964260905,0.9518942270357391,0.2607892270357391,77.2955,78.5955,2.748412610061614,0.75,1.2399999999999949,0.33,0.67,,,,2026-07-11T04:46:38.298133+00:00,2026-07-11T07:11:38.718886+00:00,Take Profit (Price 0.99 >= 0.98),0.9103088235294116,,,,,,,,7.895499999999998,55.22269496305555,252,2026-07-11T04:46:38.295509+00:00,AP
26,paper,Tokyo,2026-07-14,Will the lowest temperature in Tokyo be 22°C on July 14?,0,71.2,72.0,NO,2.0,0.66,0.1089091539703218,0.8910908460296783,0.21996584602967822,77.0705,78.37049999999999,2.7519315805709117,1.0,1.2299999999999898,0.35,0.65,,,,2026-07-12T04:41:21.832934+00:00,2026-07-12T12:23:30.029232+00:00,Take Profit (Price 0.98 >= 0.98),0.9730793939393938,,,,,,,,5.870499999999993,55.310601962777774,252,2026-07-12T04:41:21.830663+00:00,AP
27,paper,Seoul,2026-07-14,Will the lowest temperature in Seoul be 20°C or below on July 14?,0,,66.6,NO,2.0,0.82,7.538584756439093e-10,0.9999999992461415,0.17507624924614143,77.9005,79.20049999999999,2.0022215177767575,0.75,1.9300000000000068,0.195,0.805,,,,2026-07-12T06:03:23.859062+00:00,2026-07-12T09:20:04.099912+00:00,Take Profit (Price 0.98 >= 0.98),0.3955230487804879,,,,,,,,12.100499999999997,53.943372482777775,244,2026-07-12T06:03:23.856556+00:00,AP
28,paper,Madrid,2026-07-13,Will the highest temperature in Madrid be 32°C or below on July 13?,1,,88.2,NO,2.0,0.89,0.006815853200763389,0.9931841467992366,0.08394318115646071,90.71700000000001,92.01700000000001,1.3446435661291285,0.75,1.5600000000000023,0.116,0.884,0.022753128555176357,,,2026-07-12T07:05:29.266283+00:00,2026-07-12T22:07:40.475704+00:00,Take Profit (Price 0.98 >= 0.98),0.20004494382022467,,,,,,,,3.3170000000000073,28.90853714361111,199,2026-07-11T12:48:44.299839+00:00,EU
29,paper,Seoul,2026-07-15,Will the highest temperature in Seoul be 24°C on July 15?,1,74.8,75.6,NO,2.0,0.56,0.141810872255964,0.858189127744036,0.29261537774403595,80.0505,81.3505,2.9278630290190346,0.75,2.180000000000007,0.455,0.545,,,,2026-07-13T04:09:03.362191+00:00,2026-07-13T05:21:09.336059+00:00,Take Profit (Price 0.99 >= 0.98),1.5526830357142853,,,,,,,,5.250500000000002,55.849066058055556,252,2026-07-13T04:09:03.360099+00:00,AP
30,paper,Tokyo,2026-07-15,Will the lowest temperature in Tokyo be 23°C on July 15?,0,73.0,73.8,NO,2.0,0.67,0.10231589441352207,0.8976841055864779,0.2215603555864779,79.2605,80.56049999999999,2.8515192995563554,0.75,2.0600000000000165,0.345,0.655,,,,2026-07-13T04:50:09.199960+00:00,2026-07-13T13:12:25.888429+00:00,Take Profit (Price 0.98 >= 0.98),0.9255762686567162,,,,,,,,6.260499999999993,55.164111122222224,226,2026-07-13T04:39:45.713724+00:00,AP
