era,city,target_date,model_accuracy_actuals,resolutions_actual,conflict
live,Chengdu,2026-07-29,93.2,93.2,
live,Chicago,2026-07-05,75.2,,
live,Chongqing,2026-07-25,102.2,102.2,
live,Dallas,2026-07-06,98.6,,
live,Guangzhou,2026-07-09,89.6,,
live,Guangzhou,2026-07-14,93.2,,
live,Guangzhou,2026-07-23,84.2|96.8,,YES
live,Guangzhou,2026-07-24,96.8,96.8,
live,Hong Kong,2026-07-17,87.8,,
live,Hong Kong,2026-07-26,77.0,77.0,
live,Hong Kong,2026-07-27,86.0,86.0,
live,Houston,2026-07-28,95.0,95.0,
live,London,2026-07-08,69.8,,
live,London,2026-07-16,60.8,,
live,London,2026-07-18,60.8,,
live,London,2026-07-20,77.0,77.0,
live,Lucknow,2026-07-18,87.8,,
live,Madrid,2026-07-13,91.4,,
live,Miami,2026-07-08,84.2,,
live,Miami,2026-07-18,80.6,,
live,Miami,2026-07-20,82.4,82.4,
live,Munich,2026-07-15,80.6,,
live,New York,2026-07-07,62.6,,
live,New York,2026-07-18,80.6,,
live,New York,2026-07-26,82.4,,
live,Paris,2026-07-15,87.8,,
live,Sao Paulo,2026-07-26,77.0,77.0,
live,Sao Paulo,2026-07-29,86.0,86.0,
live,Seoul,2026-07-14,75.2,,
live,Seoul,2026-07-15,82.4,,
live,Seoul,2026-07-16,82.4,,
live,Seoul,2026-07-17,87.8,,
live,Seoul,2026-07-25,87.8,87.8,
live,Seoul,2026-07-28,78.8,78.8,
live,Shenzhen,2026-07-27,86.0,86.0,
live,Taipei,2026-07-18,96.8,,
live,Taipei,2026-07-23,91.4|93.2,93.2,YES
live,Taipei,2026-07-25,96.8,96.8,
live,Tel Aviv,2026-07-06,91.4,,
live,Tel Aviv,2026-07-07,87.8,,
live,Tel Aviv,2026-07-27,89.6,,
live,Tokyo,2026-07-13,77.0,,
live,Tokyo,2026-07-14,77.0,,
live,Tokyo,2026-07-15,80.6,,
live,Tokyo,2026-07-17,78.8,,
live,Tokyo,2026-07-18,77.0,,
live,Wuhan,2026-07-20,91.4,91.4,
paper,Chicago,2026-07-05,68.0,,
paper,Dallas,2026-07-06,84.2,,
paper,Guangzhou,2026-07-09,84.2,,
paper,Guangzhou,2026-07-14,82.4,,
paper,Hong Kong,2026-07-17,84.2,,
paper,London,2026-07-08,69.8,,
paper,London,2026-07-16,64.4,,
paper,London,2026-07-18,64.4,64.4,
paper,Lucknow,2026-07-18,84.2,84.2,
paper,Madrid,2026-07-13,80.6,,
paper,Miami,2026-07-08,84.2,,
paper,Miami,2026-07-18,82.4,82.4,
paper,Munich,2026-07-15,66.2,,
paper,New York,2026-07-07,64.4,,
paper,New York,2026-07-18,75.2,75.2,
paper,Paris,2026-07-15,82.4,,
paper,Seoul,2026-07-14,77.0,,
paper,Seoul,2026-07-15,77.0,,
paper,Seoul,2026-07-16,75.2,,
paper,Seoul,2026-07-17,80.6,,
paper,Taipei,2026-07-18,86.0,86.0,
paper,Tel Aviv,2026-07-06,78.8,,
paper,Tel Aviv,2026-07-07,78.8,,
paper,Tokyo,2026-07-13,77.0,,
paper,Tokyo,2026-07-14,77.0,,
paper,Tokyo,2026-07-15,80.6,,
paper,Tokyo,2026-07-17,82.4,,
paper,Tokyo,2026-07-18,77.0,77.0,
